Order_ID,Product,Region,Salesperson,Quantity,Unit_Price,Order_Date,Discount,Revenue
8270,Laptop,,Rohit,-1,99999,2024-01-01,0,2000
1860,Mobile,West,Priya,100,-200,,-5,1000
6390,Headphones,,John,-1,99999,,,
6191,Laptp,,,2,,,0,5000
6734,,,John,-20,1000,2024-02-10,0,2000
7265,Charger,West,Rohit,-20,-200,2024-01-15,-5,1000
1466,Mouse,East,Priya,-1,500,2024-01-01,-5,1000
5426,,West,Sneha,-20,1000,2024-01-15,0,3000
6578,Charger,,,3,99999,2024-02-10,10,
9322,Keyboard,West,John,-1,,2024-00-10,,
2685,Laptop,,Priya,1,1500,2024-00-10,0,-100
1769,,,Priya,2,2000,2024-02-10,15,5000
7949,Tablet,,Amit,-20,500,2024-02-10,200,
3433,,,Rohit,1,1500,2024-00-10,0,-100
6311,Keyboard,West,Priya,500,2000,2024-02-10,0,5000
6051,,,,2,1500,,-5,
7420,Tablet,West,Sneha,2,99999,2024-02-10,0,3000
2184,Charger,South,John,,1000,2024-02-10,200,-100
5555,,West,,-1,1000,2024-00-10,5,1000
4385,Mouse,North,Amit,2,2000,2024-00-10,-5,
7396,Laptop,,Sneha,4,2000,,15,
9666,Charger,,John,3,1000,2024-01-15,10,3000
3558,Laptop,,Rohit,5,1000,2024-00-10,200,2000
8849,Mobile,East,Sneha,500,-200,2024-01-15,-5,5000
3047,,,,2,2000,,,2000
3747,Monitr,,John,5,2000,,,1000
1189,,East,Amit,100,99999,2024-00-10,-5,2000
3734,Monitr,North,,,-200,2024-13-01,,1000
4005,Tablet,,,4,2000,2024-01-15,-5,5000
5658,Charger,,John,-20,99999,2024-02-10,10,3000
2899,Monitor,,,100,,2024-13-01,0,1000
8734,Laptop,,Priya,3,99999,,15,5000
2267,Laptop,East,Amit,4,-200,2024-00-10,,-100
2528,Monitor,East,Sneha,500,,2024-00-10,5,3000
4556,Headphones,West,,5,1000,,5,2000
4890,,,,,,2024-13-01,15,2000
9838,Charger,,,2,99999,2024-01-01,,1000
6393,Monitor,,Rohit,500,500,,0,
9792,Monitr,,,100,1000,2024-02-10,,-100
9433,,West,Amit,-1,500,2024-01-15,200,
8513,Laptop,,,500,1500,2024-13-01,0,-100
3612,,,Amit,5,500,2024-01-15,,3000
8041,Monitr,North,Amit,5,1500,2024-00-10,5,2000
7235,Charger,East,John,500,500,2024-01-01,10,5000
6486,Mouse,East,,5,99999,,-5,-100
8099,,,Priya,500,99999,2024-01-01,15,3000
1775,Mouse,East,,1,1500,2024-01-15,0,1000
9226,Tablet,South,Rohit,-20,1500,,10,-100
4152,,North,,-20,1000,,0,1000
2585,Monitr,North,,100,99999,2024-00-10,200,3000
4943,Monitr,West,Rohit,3,2000,,15,5000
8555,Monitr,South,Priya,100,2000,,200,2000
4073,Headphones,,John,5,1000,,200,2000
2021,Monitr,,John,2,1500,2024-01-01,10,5000
4843,Mouse,North,Priya,500,2000,2024-02-10,200,2000
8989,Headphones,South,,4,2000,2024-00-10,10,-100
7873,Tablet,South,Priya,-1,500,2024-13-01,-5,
6675,Mobile,,Sneha,100,,2024-13-01,-5,
1161,Keyboard,North,John,-1,1000,2024-13-01,15,5000
5297,Tablet,,,,,2024-02-10,15,
1995,Laptp,West,Amit,-1,1500,2024-00-10,0,-100
8629,Headphones,South,,4,500,,200,3000
2016,Mouse,East,Rohit,-20,2000,2024-01-15,10,2000
8869,Mouse,South,John,1,-200,2024-01-15,15,-100
7439,Charger,,Priya,5,500,2024-00-10,-5,3000
8892,Laptop,North,Amit,100,1000,2024-02-10,0,5000
7863,Monitr,,,-20,99999,2024-00-10,,-100
8916,,West,,,1500,2024-01-15,-5,-100
9529,Mouse,,,5,500,2024-00-10,15,
1878,Monitr,East,Sneha,2,500,2024-13-01,-5,3000
